id,Fragment,nodes,edges,s_abs,s_rel,c_abs,c_rel
14,F-C1=C=C=C2-N-C-C3=C(-C(-C-C-N)=C-C)=N=C4=N=C=C=C(-C=2=C=1)=C=4=3,24,27,111,10.211592,4,1.6460905
15,F-C1=C=C=C2-N-C-C3=C(-C(-C-C)=C-C)=N=C4=N=C=C=C(-C=2=C=1)=C=4=3,23,26,136,12.511499,4,1.6460905
16,F-C1=C=C=C2-N-C-C3=C(-C(-C-C-N-C)=C)=N=C4=N=C=C=C(-C=2=C=1)=C=4=3,24,27,111,10.211592,4,1.6460905
17,F-C1=C=C=C2-N-C-C3=C(-C(-C)=C-C)=N=C4=N=C=C=C(-C=2=C=1)=C=4=3,22,25,145,13.339466,4,1.6460905
18,F-C1=C=C=C(-N-C)=C(-C2=C=C=N=C3=N=C(-C(-C-C-N)=C-C)=C(-C)=C=3=2)=C=1,25,27,114,10.48758,4,1.6460905
19,F-C1=C=C=C(-N-C)=C(-C2=C=C=N=C3=N=C(-C(-C-C)=C-C)=C(-C)=C=3=2)=C=1,24,26,139,12.787489,4,1.6460905
20,F-C1=C=C=C(-N-C)=C(-C2=C=C=N=C3=N=C(-C(-C-C-N-C)=C)=C(-C)=C=3=2)=C=1,25,27,114,10.48758,4,1.6460905
21,F-C1=C=C=C(-N-C)=C(-C2=C=C=N=C3=N=C(-C(-C)=C-C)=C(-C)=C=3=2)=C=1,23,25,148,13.615456,4,1.6460905
22,F-C1=C=C=C(-N-C)=C(-C2=C=C=N=C3=N=C(-C4-C-C-N-C-C=4)=C=C=3=2)=C=1,24,27,109,10.027599,4,1.6460905
23,F-C1=C=C=C(-N-C)=C(-C2=C=C=N=C3=N=C(-C(-C-C-N)=C-C)=C=C=3=2)=C=1,24,26,115,10.5795765,4,1.6460905
24,F-C1=C=C=C(-N-C)=C(-C2=C=C=N=C3=N=C(-C(-C-C)=C-C)=C=C=3=2)=C=1,23,25,140,12.879485,4,1.6460905
25,F-C1=C=C=C(-N-C)=C(-C2=C=C=N=C3=N=C(-C(-C-C-N-C)=C)=C=C=3=2)=C=1,24,26,115,10.5795765,4,1.6460905
26,F-C1=C=C=C(-N-C)=C(-C2=C=C=N=C3=N=C(-C(-C)=C-C)=C=C=3=2)=C=1,22,24,149,13.707452,4,1.6460905
27,F-C1=C=C=C(-N)=C(-C2=C=C=N=C3=N=C(-C4-C-C-N-C-C=4)=C(-C)=C=3=2)=C=1,24,27,109,10.027599,4,1.6460905
28,F-C1=C=C=C(-N)=C(-C2=C=C=N=C3=N=C(-C(-C-C-N)=C-C)=C(-C)=C=3=2)=C=1,24,26,115,10.5795765,4,1.6460905
29,F-C1=C=C=C(-N)=C(-C2=C=C=N=C3=N=C(-C(-C-C)=C-C)=C(-C)=C=3=2)=C=1,23,25,140,12.879485,4,1.6460905
30,F-C1=C=C=C(-N)=C(-C2=C=C=N=C3=N=C(-C(-C-C-N-C)=C)=C(-C)=C=3=2)=C=1,24,26,115,10.5795765,4,1.6460905
31,F-C1=C=C=C(-N)=C(-C2=C=C=N=C3=N=C(-C(-C)=C-C)=C(-C)=C=3=2)=C=1,22,24,149,13.707452,4,1.6460905
32,F-C1=C=C=C(-N(-C-C)-C)=C(-C2=C=C=N=C(=N=C-C(-C-C-N)=C-C)=C=2)=C=1,25,26,114,10.48758,4,1.6460905
